WB_A3,NAM_0,GEM_PGA_mean,GEM_PGA_median,FLOOD_mean,FLOOD_median,STORM_mean,STORM_median
COM,Comoros,0.020188641196966863,0.023993710000000005,0.016446789810636957,0.0,25.472664388020835,24.99485969543457
DNK,Denmark,0.0023839936650717672,0.0,0.026077311586619356,0.0,0.0,0.0
EST,Estonia,0.018459343627618,0.016005887307636416,0.01309069040241073,0.0,0.0,0.0
GRC,Greece,0.32230469295499714,0.32144944787453505,0.09382577046033383,0.0,0.0,0.0
HMD,Heard Island and McDonald Islands (Aus.),,,0.0004166645531573992,0.0,0.0,0.0
LKA,Sri Lanka,0.02670606045886537,0.024139034285881607,0.05333099357381568,0.0,22.963234867810762,22.894987106323242
LSO,Lesotho,0.034827141143299004,0.03583244001658439,0.0075270201823869455,0.0,0.0,0.0
MDG,Madagascar,0.04816008165097694,0.044248212273542226,0.03841023435016192,0.0,30.529728406386354,29.498720169067383
MDV,Maldives,,,0.005940016480379327,0.0,0.0,0.0
MOZ,Mozambique,0.06914065076010525,0.04679862826863751,0.08079952538679144,0.0,13.598688599293446,19.36517333984375
MUS,Mauritius,,,0.00023768103682245636,0.0,40.66917928059896,40.67961120605469
MWI,Malawi,0.14898523997777813,0.1511771791884426,0.01922745360960059,0.0,0.0,0.0
FRA,France,,,0.0,0.0,40.7047464121943,40.75822830200195
RWA,Rwanda,0.1358509842031076,0.13186904979154287,0.014316007616844128,0.0,0.0,0.0
SWE,Sweden,0.014735813101052837,0.013720000281974967,0.05182882895783629,0.0,0.0,0.0
SWZ,Eswatini,0.02801483602612393,0.026840030000000008,0.041259765625,0.0,10.406529456564465,18.17920684814453
SYC,Seychelles,,,0.05453291529786072,0.0,4.676062107086182,0.0
TZA,Tanzania,0.11094736029204169,0.1030564499995279,0.029781065467105846,0.0,0.004703268738189817,0.0
ZAF,South Africa,0.030919323773663798,0.022011380000079465,0.030568939964413577,0.0,0.7609544911880184,0.0
ZMB,Zambia,0.06770048289354427,0.04847739506333838,0.04863508268335006,0.0,0.0,0.0
ZWE,Zimbabwe,0.04951568420970164,0.028471767883442755,0.047764211351878846,0.0,0.12225061112206943,0.0
FIN,Aaland (Fin.),0.013084588738846582,0.01325051,0.003722855936546273,0.0,0.0,0.0
BGR,Bulgaria,0.16115369225581083,0.15349304993617113,0.017582971832857976,0.0,0.0,0.0
CZE,Czech Republic,0.01728193034415285,0.013935739999999999,0.032134916703211475,0.0,0.0,0.0
LTU,Lithuania,0.015363397995581243,0.014257453676352786,0.0093447341589048,0.0,0.0,0.0
FRA,France,0.009770510671546375,0.009770014863908246,0.015455831769364992,0.0,29.48233413696289,29.46702766418457
POL,Poland,0.01010992434688275,0.009022595755820371,0.02595252664801823,0.0,0.0,0.0
SJM,Svalbard and Jan Mayen (Nor.),,,0.0020733309418397546,0.0,0.0,0.0
SVK,Slovak Republic,0.05736819826180455,0.049601016955632835,0.024488183037810585,0.0,0.0,0.0
